none,none (important cases not done),revize,civicplus,municodeweb.com,Govoffice,visioninternet,egovstrategies,granicus,sophicity,civiclive
http://www.cityofalachua.com,https://www.coconutcreek.net/,http://www.avonpark.cc/,http://www.altamonte.org,,https://www.biscayneparkfl.gov/,https://www.myclearwater.com/,https://www.clewiston-fl.gov,http://www.albanyga.gov,https://townofaltoga.org/,http://bainbridgecity.com
http://www.cityofapalachicola.com,https://www.adairsvillega.net/city-directory,http://www.cityofannamaria.com/,http://www.coab.us,,https://blountstownfl.govoffice3.com/index.asp?SEC=1A59AE84-FDC2-44E9-9401-86F312768044&Type=B_DIR,https://www.atlantaga.gov/,,,https://www.berkeley-lake.com/,
http://www.arcadia-fl.gov/,https://www.alpharetta.ga.us/about/contacts,http://www.acworth.org/,https://www.belleviewfl.org/,,https://www.cityofbradenton.com,,,,,
https://www.balharbourfl.gov/,http://www.americusga.gov/,http://www.cityofalmaga.gov/public_works/public_works_director.php,https://www.myboca.us/,,https://www.cityofcapecanaveral.org/,,,,,
http://www.cityofbelleislefl.org/contact,https://www.cityofauburn-ga.org/,http://www.cityofbarnesville.com/,http://www.cityofchipley.com/,,https://www.coopercityfl.org/,,,,,
http://www.cityofbartow.net/,http://www.cityofbaldwin.org/index.php/city-hall,,https://www.cocoafl.org/,,https://www.austellga.gov,,,,,
http://www.cityofbelleairbeach.com/city-manager/,http://cityofblakely.net/,,http://www.cityofcocoabeach.com/,,,,,,,
http://www.cityofbonitasprings.org/parks/contact/,http://www.bloomingdale-ga.com/,,https://www.accgov.com/,,,,,,,
http://www.boynton-beach.org,https://www.cityofblueridgega.gov/,,https://www.augustaga.gov/,,,,,,,
http://www.ci.brooksville.fl.us/,https://www.bowdon.net/contact-us,,https://www.avondaleestates.org (no directory emails elsewhere),,,,,,,
http://www.bunnellcity.us,http://www.brunswickga.org/cityman.html,,,,,,,,,
http://www.cityofbushnellfl.com/,,,,,,,,,,
https://www.chattgov.org,,,,,,,,,,
https://www.clermontfl.gov,,,,,,,,,,
http://www.abbevillega.org/,,,,,,,,,,
http://cityofarcade.org,,,,,,,,,,
http://www.cityofashburn.net/,,,,,,,,,,
http://www.cityofbacontonga.com,,,,,,,,,,
https://cityofballground.com/,,,,,,,,,,
http://www.bethlehemga.org/,,,,,,,,,,
http://blackshearga.com,,,,,,,,,,
http://www.cityofbogart.com/,,,,,,,,,,
http://bostonga.com/,,,,,,,,,,