Name,Address,City,State
A. Russell Knight Elementary School,140 Old Carriage Rd.,CHERRY HILL,NJ
A.E. Burling Elementary School,3600 HARRIS AVENUE,PENNSAUKEN,NJ
Abington Aveneu School,209 ABINGTON AVE,NEWARK,NJ
Abraham Lincoln Elementary School,325 MASON AVE,WYCKOFF,NJ
Abraham Lincoln School #6,111 PALISADE AVE,GARFIELD,NJ
Absegami High School,201 S  WRANGLEBORO ROAD,GALLOWAY,NJ
Academy I,209 BERGEN AVENUE,JERSEY CITY,NJ
Academy of Technology Design,525 Montgomery Street,Jersey City,NJ
Adlai E. Stevenson,15 KNOLL ROAD,FAIRFIELD,NJ
Adult Evening High School,2 Palisade Avenue,Jersey City,NJ
Adult High School and Post Secondary Programs,2000 85th Street,North Bergen,NJ
Adult Regional High School,1360 Tanyard Road,Sewell,NJ
Albert E Grice Middle School,901 WHITEHORSE HAMILTON SQ,HAMILTON,NJ
Albio Sires Elementary School,6300 PALISADE AVE,WEST NEW YORK,NJ
Alder Avenue Middle School,25 ALDER AVENUE,EGG HARBOR TOWNSHIP,NJ
Alexander D. Sullivan School,171 SEAVIEW AVE,JERSEY CITY,NJ
Alexander Denbo,ONE LEARNING WAY,BROWNS MILLS,NJ
Alexander Elementary School,20 ROBERT FROST DRIVE,HAMILTON,NJ
ALEXANDER HAMILTON SCHOOL,380 HARRISTOWN ROAD,GLEN ROCK,NJ
Alexandria Middle School,557 County Rd. 513,Pittstown,NJ
Alfred Cramer College Preparatory Lab School,2800 MICKLE STREET,CAMDEN,NJ
Alfred S. Faust,100 Uhland Street,East Rutherford,NJ
Alfred Zampella School,201 NORTH ST,JERSEY CITY,NJ
Alice Costello Elementary School,301 Haakon rd.,BROOKLAWN,NJ
Aline Bingham Elementary School,100 FIRST & ORCHARD AVE,RUNNEMEDE,NJ
Alpine Elementary School,500 HILLSIDE AVENUE,ALPINE,NJ
Alternative High School,MALBERG BUILDING,CHERRY HILL,NJ
Alternative School at Levitt,50 Martin Luther King Jr. Blvd,Willingboro,NJ
Althea Gibson Academy,490  WILLIAM STREET,EAST ORANGE,NJ
American History High School,74 Montgomery St,NEWARK,NJ
Ann A. Mullen Middle School,1400 SICKLERVILLE ROAD,SICKLERVILLE,NJ
Ann Blanche Smith,1000 HILLSDALE AVE,HILLSDALE,NJ
Ann Street School,30 ANN ST,NEWARK,NJ
Anna C. Scott Elementary School,100 Highland Street,Leonia,NJ
Anna L. Klein,301  69TH ST,GUTTENBERG,NJ
Anthony Rossi Elementary School,2572 PALERMO AVE,VINELAND,NJ
Applied Technology High School,400 Paramus Road,Paramus,NJ
Arthur Rann Elementary School,515 S EIGHTH AVE,GALLOWAY,NJ
Arts High School,550 M  L  KING BLVD,NEWARK,NJ
Ashbrook Elementary School,33 MUNICIPAL DRIVE,LUMBERTON,NJ
Atco Elementary,2162 COOPER ROAD,ATCO,NJ
Atlantic Avenue,21 East Atlantic Avenue,HADDON HEIGHTS,NJ
Atlantic City High School,1400 N Albany Avenue,Atlantic City,NJ
Atlantic County Alternative High School,4805 Nawakwa Blvd,Mays Landing,NJ
Atlantic County Elementary and Middle Schools,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ
Atlantic County High School,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ
Atlantic County Institute of Technology,5080 ATLANTIC AVENUE,MAYS LANDING,NJ
Atlantis Elementary School,3 SCHOOL ROAD,Joint Base MDL,NJ
Audubon Junior/Senior High School,350 EDGEWOOD AVENUE,AUDUBON,NJ
Augusta Preschool Academy,97 AUGUSTA STREET,IRVINGTON,NJ
Aura Elementary School,900 Clems Run,GLASSBORO,NJ
AUTISTIC,540 Farview Avenue,Paramus,NJ
Avalon Elementary School,235 32ND STREET,AVALON,NJ
Avon Elementary School,862 MERCER DR,HADDONFIELD,NJ
B. Bernice Young Elementary School,1203 NECK ROAD,BURLINGTON,NJ
B.R.I.C.K. Avon Academy,219 AVON AVE,NEWARK,NJ
B.R.I.C.K. Peshine Academy,433 Peshine Avenue,NEWARK,NJ
Baldwin Elementary School,41ST & SHARON TERRACE,PENNSAUKEN,NJ
Bankbridge Regional School,870 Bankbridge Road,Sewell,NJ
Barclay Early Childhood Center,1220 Winston Way,CHERRY HILL,NJ
Bard Early College High School,321 BERGEN STREET,NEWARK,NJ
Barley Sheaf Elementary School,80 BARLEY SHEAF ROAD,FLEMINGTON,NJ
Barringer Academy of S.T.E.A.M.,90 Parker Street,Newark,NJ
Barringer Arts High School,90 PARKER ST,NEWARK,NJ
BASS RIVER TOWNSHIP ELEMENTARY SCHOOL,11 NORTH MAPLE AVENUE,NEW GRETNA,NJ
Bayonne Academy,669 Avenue A,Bayonne,NJ
Bayonne Alternative High School,669 Avenue A,Bayonne,NJ
Bayonne High School,669 AVENUE A,BAYONNE,NJ
Bear Tavern Elementary School,1162 BEAR TAVERN ROAD,TITUSVILLE,NJ
Belhaven Middle School,51 BELHAVEN AVENUE,LINWOOD,NJ
Bell Oaks Upper Elementary School,256  ANDERSON AVENUE,BELLMAWR,NJ
Belleville High School,100 PASSAIC AVE,BELLEVILLE,NJ
Belleville Middle School,279 WASHINGTON AVE,BELLEVILLE,NJ
Belleville PS10,527 BELLEVILLE AVE,BELLEVILLE,NJ
Belleville PS3,230 JORALEMON ST,BELLEVILLE,NJ
Belleville PS4,30 MAGNOLIA ST,BELLEVILLE,NJ
Belleville PS5,149 ADELAIDE ST,BELLEVILLE,NJ
Belleville PS7,20 PASSAIC AVE,BELLEVILLE,NJ
Belleville PS8,183 UNION AVE,BELLEVILLE,NJ
Belleville PS9,301 RALPH ST,BELLEVILLE,NJ
Bellmawr Park Elementary School,29 PEACH ROAD,BELLMAWR,NJ
Bells Elementary School,227 GREENTREE RD,TURNERSVILLE,NJ
Belmont Runyon Elementary School,1 BELMONT RUNYON WAY,NEWARK,NJ
Ben Franklin Elementary,2939 PRINCETON PIKE,LAWRENCEVILLE,NJ
Benjamin Banneker Academy,500 South Clinton Street,EAST ORANGE,NJ
Benjamin Franklin Elementary School,7201 IRVING AVENUE,PENNSAUKEN,NJ
Benjamin Franklin Elementary School,42 PARK AVE,NEWARK,NJ
Benjamin Franklin Middle School,335 NORTH VAN DIEN AVE,RIDGEWOOD,NJ
Benjamin Franklin Middle School,1315 TAFT ROAD,TEANECK,NJ
Bergen Boulevard School,635 BERGEN BLVD,RIDGEFIELD,NJ
Bergen County Academies,200 Hackensack Avenue,Hackensack,NJ
Bergen County Technical High School - Paramus,E.285 Pascack Road,Paramus,NJ
Bergen County Technical High School - Paramus,E.285 Pascack Road,Paramus,NJ
Bergen County Technical High School - Teterboro,504 Route 46 West,Teterboro,NJ
Bergen County Technical Schools Adult & Continuing Education,200A Hackensack Avenue,Hackensack,NJ
Bergenfield High School,80 S PROSPECT AVE,BERGENFIELD,NJ
Berkeley Elementary,47 BERKELEY AVE,WESTWOOD,NJ
Berkeley Elementary School,351 Bloomfield Ave,Bloomfield,NJ
Berkeley Terrace Elementary School,787     GROVE STREET,IRVINGTON,NJ
Berkley Street School,812 BERKLEY STREET,NEW MILFORD,NJ
Berlin Community School,215 S FRANKLIN AVE,BERLIN,NJ
Bertrand F. Gibbs Elementary School,195 SUTTON PLACE,NEW MILFORD,NJ
Betsy Ross Elementary,20 MALCOLM RD,MAHWAH,NJ
Betty Maddalena Early Learning Center,747 Nothfield Avenue,West Orange,NJ
Beverly City School,601 BENTLEY AVE,BEVERLY,NJ
Billingsport Elementary School,441 NASSAU AVE,PAULSBORO,NJ
Birches Elementary School,416 WESTMINSTER BLVD,TURNERSVILLE,NJ
Blackwood Elementary School,260 BLENHEIM  ERIAL RD,BLACKWOOD,NJ
Bloomfield High School,160 Broad Street,Bloomfield,NJ
Bloomfield Middle School,60 Huck Road,Bloomfield,NJ
Bloomsbury Borough School,20 Main Street,Bloomsbury,NJ
Bobby's Run Elementary School,32 DIMSDALE DRIVE,LUMBERTON,NJ
Bogota Jr./Sr. High School,2 HENRY C  LUTHIN PLACE,BOGOTA,NJ
Bordentown Regional High School,318 WARD AVE,BORDENTOWN,NJ
Bordentown Regional Middle School,50 DUNNS MILL ROAD,BORDENTOWN,NJ
Bradford Elementary School,87 MT HEBRON RD,UPPER MONTCLAIR,NJ
Branch Brook School,228 RIDGE ST,NEWARK,NJ
Bret Harte Elementary School,1909 Queen Anne Dr.,CHERRY HILL,NJ
Bridgeton High School,111 N WEST AVENUE,BRIDGETON,NJ
Brigantine Elementary School,301 E  EVANS BOULEVARD,BRIGANTINE,NJ
Brigantine North Middle School,301 E  EVANS BOULEVARD,BRIGANTINE,NJ
Brighton Avenue School,30 N. Brighton Avenue,Atlantic City,NJ
Broad Street Elementary School,255 WEST BROAD ST,GIBBSTOWN,NJ
Broad Street School,251 WEST BROAD STREET,BRIDGETON,NJ
Brookdale Avenue School,14 BROOKDALE COURT,VERONA,NJ
Brookdale Elementary School,1230 Broad Street,Bloomfield,NJ
Brookside Elementary School,20 LAKE DRIVE,WESTWOOD,NJ
Brookside School,100 Brookside Avenue,Allendale,NJ
Bruce Street School For The Deaf,333 CLINTON PL,NEWARK,NJ
Buckshutem Road School,550 BUCKSHUTEM ROAD,BRIDGETON,NJ
Buena Regional High School,125 WEYMOUTH ROAD,BUENA,NJ
Buena Regional Middle School,175 WEYMOUTH RD,BUENA,NJ
Bunker Hill Middle School,372 PITMAN  DOWNER RD,SEWELL,NJ
Burlington City High School,100 Blue Devil WAy,BURLINGTON,NJ
Burlington County Alternative High School,1020 Briggs Road,Mt. Laurel,NJ
Burlington County Institute of Technology - Evening,695 Woodlane Road,Westampton,NJ
Burlington County Institute of Technology - Medford,10 Hawkin Road,Medford,NJ
Burlington County Institute of Technology - Westampton,695 Woodlane Road,Westampton,NJ
Burlington Township High School,610 FOUNTAIN AVENUE,BURLINGTON,NJ
Burlington Township Middle School at Springside,1600 BURLINGTON BY  PASS,BURLINGTON,NJ
Burnet Hill Elementary School,25 BYRON PLACE,LIVINGSTON,NJ
Buzz Aldrin Middle School,173 BELLEVUE AVE,UPPER MONTCLAIR,NJ
Califon Elementary,6 SCHOOL STREET,CALIFON,NJ
Calvin Coolidge Elementary School,420 GRANDVIEW AVE,WYCKOFF,NJ
Camden Big Picture Learning Academy,1725 Park Boulevard,CAMDEN,NJ
Camden County Technical School-GTC,343 Berlin Cross Keys Road,Sicklerville,NJ
Camden County Technical School-Pennsauken,6008 Browning Road,Pennsauken,NJ
Camden High School,1875 Park Boulevard,CAMDEN,NJ
"Camden Prep, Inc.",1575 Mt. Ephraim Ave,Camden,NJ
Camden Street Elementary School,281 CAMDEN ST,NEWARK,NJ
Cape May City Elementary School,921 LAFAYETTE ST,CAPE MAY,NJ
Cape May County High School,148 CREST HAVEN ROAD,CAPE MAY COURT HOUSE,NJ
Cape May County Technical Evening School,188 CREST HAVEN ROAD,CAPE MAY COURT HOUSE,NJ
Cape May County Technical Evening Vo-Tech School,188 CREST HAVEN ROAD,CAPE MAY COURT HOUSE,NJ
Cape May County Technical High SChool,188 CREST HAVEN RD,CAPE MAY COURT HOUSE,NJ
Captain James Lawrence Elementary School,315 BARCLAY ST,BURLINGTON,NJ
Career and Innovation Academy of Orange,123 Cleveland Street,Orange,NJ
Carl T. Mitnick School,905 SEASHORE ROAD,CAPE MAY,NJ
Carlstadt Public School,550 WASHINGTON STREET,CARLSTADT,NJ
Caroline L. Reutter School,2150 DELSEA DR,FRANKLINVILLE,NJ
Carteret Elementary School,158 Grove Street,Bloomfield,NJ
Casimer M. Dallago Jr. Impact Center,240 S. Sixth Street,VINELAND,NJ
Catherine E. Doyle Elementary School,250 WOOD  RIDGE AVE,WOOD  RIDGE,NJ
Cedar Creek High School,1701 New York Ave.,EGG HARBOR CITY,NJ
Cedar Grove High School,90 Rugby Road,Cedar Grove,NJ
Center Square School,100 Peachwood Drive,Logan Township,NJ
Central Early Childhood Center,1040 Monmouth Road,DEPTFORD,NJ
Central High School,250 18TH AVENUE,NEWARK,NJ
CENTRAL SCHOOL,600 S MAPLE AVE,GLEN ROCK,NJ
Central School,THREE LINCOLN AVENUE,HADDONFIELD,NJ
Centre City Elementary School,301 COLUMBUS DR,MANTUA,NJ
Chairville Elementary School,36 CHAIRVILLE ROAD,MEDFORD,NJ
Chancellor Avenue Elementary School,844     CHANCELLOR AVENUE,IRVINGTON,NJ
Chancellor Avenue School,321 CHANCELLOR AVE,NEWARK,NJ
Chaplain Charles Watters School,220 VIRGINIA AVE,JERSEY CITY,NJ
Charles DeWolf Middle School,275 OLD TAPPAN RD,OLD TAPPAN,NJ
Charles E. Trefurt School,96 FRANKLIN ST,JERSEY CITY,NJ
Charles F. Seabrook School,1373 Highway 77,SEABROOK,NJ
Charles H. Bullock School,55 Washington Street,MONTCLAIR,NJ
Charles L. Spragg School,601 BUFFALO AVE,EGG HARBOR CITY,NJ
Charles R Smith Early Chilhood Center,271 SECOND STREET,PALISADES PARK,NJ
Charles Street School,100 W  CHARLES STREET,PALMYRA,NJ
Charles W. Lewis Middle School,875 ERIAL ROAD,BLACKWOOD,NJ
Chatsworth Elementary School,2 John Bowker Jr. Blvd,CHATSWORTH,NJ
Chelsea Heights School,4101  Filbert Avenue,Atlantic City,NJ
Cherokee High School,120 TOMLINSON MILL ROAD,MARLTON,NJ
Cherry Hill High School East,1750 Kresson Rd.,CHERRY HILL,NJ
Cherry Hill High School West,2101 Chapel Ave.,CHERRY HILL,NJ
Cherry Hill School,410 BOGERT RD,RIVER EDGE,NJ
Cherry Street School,11 CHERRY STREET,BRIDGETON,NJ
Chesterfield Township Elementary School,30 Saddle Way,Chesterfield,NJ
Chestnut Ridge Middle School,641 HURFFVILLE  CROSSKEYS RD,SEWELL,NJ
Chews Elementary School,600 CHEWSLANDING SOMERDALE RD,BLACKWOOD,NJ
Child Family Center,1100 COOMBS RD.,MILLVILLE,NJ
Christa McAuliffe School,167 HANCOCK AVE,JERSEY CITY,NJ
Christopher Columbus School #8,147 CEDAR STREET,GARFIELD,NJ
Churchill,233 FAIRFIELD ROAD,FAIRFIELD,NJ
Cicely L. Tyson Community Elementary School,45 North Arlington Street,EAST ORANGE,NJ
Cicely L. Tyson Community Middle/High School,35 Winans Street,EAST ORANGE,NJ
Cinnaminson High School,1197 RIVERTON ROAD,CINNAMINSON,NJ
Cinnaminson Middle School,312 N  FORKLANDING ROAD,CINNAMINSON,NJ
Clara Barton Elementary,100 CROSSWICKS ST,BORDENTOWN,NJ
Clara Barton Elementary School,223 Rhode Island Ave.,CHERRY HILL,NJ
CLARA E COLEMAN SCHOOL,100 PINELYNN RD,GLEN ROCK,NJ
Clarence B. Lamb Elementary School,46 SCHOOLHOUSE ROAD,WRIGHTSTOWN,NJ
Clarendon School,685 FIFTH ST,SECAUCUS,NJ
Clayton High School,55 POP KRAMER BLVD,CLAYTON,NJ
Clayton J. Davenport Elementary School,2499 SPRUCE AVENUE,EGG HARBOR TOWNSHIP,NJ
Clayton Middle School,55 POP KRAMER BLVD,CLAYTON,NJ
Clearview Regional High School,625 BREAKNECK RD,MULLICA HILL,NJ
Clearview Regional Middle School,595 JEFFERSON RD,MULLICA HILL,NJ
Clementon Elementary School,4 AUDUBON AVE,CLEMENTON,NJ
Cleveland  Eighteenth Avenue School,388 BERGEN ST,NEWARK,NJ
Cleveland Street Elementary SCchool,355 CLEVELAND ST,ORANGE,NJ
Cliffside Park High School,64 Riverview Avenue,CLIFFSIDE PARK,NJ
Clinton Elementary School,27 BERKSHIRE RD,MAPLEWOOD,NJ
Clinton Public School,10 SCHOOL STREET,CLINTON,NJ
Clinton Township Middle School,34 GRAYROCK ROAD,CLINTON,NJ
Clyde S. Jennings Elementary School,100 CEDAR AVENUE,OAKLYN,NJ
Cold Springs School,1194 MARKET STREET,GLOUCESTER CITY,NJ
Colin Powell Elementary School,1500 New York Avenue,Union City,NJ
Collings Lakes Elementary School,620 CAINS MILL RD  & LAKE GEOR,WILLIAMSTOWN,NJ
Collingswood High School,424 COLLINGS AVE,COLLINGSWOOD,NJ
Collingswood Middle School,414 COLLINGS AVE,COLLINGSWOOD,NJ
Collins Elementary School,67 MARTIN RD,LIVINGSTON,NJ
Colonial Road School,749 Colonial Road,Franklin Lakes,NJ
Columbia High School,17 PARKER AVE,MAPLEWOOD,NJ
Columbus Elementary School,1200 BRUNSWICK AVENUE,TRENTON,NJ
Columbus School,370 WESTERVELT PLACE,LODI,NJ
Columbus School,640 LAKE AVE,LYNDHURST,NJ
Community Middle School,95 GROVERS MILL ROAD,PLAINSBORO,NJ
Community Park School,372 WITHERSPOON STREET,PRINCETON,NJ
Cooper's Poynt Family School,201 State Street,CAMDEN,NJ
Copper Hill Elementary School,100 Everitts Road,Ringoes,NJ
Cornelia F. Bradford School,96 SUSSEX ST,JERSEY CITY,NJ
Countryside Elementary School,115 SCHOOLHOUSE LANE,MOUNT LAUREL,NJ
County Prep High School,525 MONTGOMERY STREET,JERSEY CITY,NJ
County Road School,130 COUNTY RD,DEMAREST,NJ
Cranberry Pines Elementary,400 FAIRVIEW ROAD,MEDFORD,NJ
Creative Arts Morgan Village Academy,990 Morgan Boulevard,CAMDEN,NJ
Crescent Elementary School,165 CRESCENT AVENUE,WALDWICK,NJ
Cresskill High School,1 LINCOLN DR,CRESSKILL,NJ
Cresskill Middle School,1 LINCOLN DR,CRESSKILL,NJ
Crest Memorial School,9100 PACIFIC AVE,WILDWOOD CREST,NJ
Cumberland Regional High School,90 SILVER LAKE ROAD,BRIDGETON,NJ
Dane Barse Elementary School,240 S ORCHARD RD,VINELAND,NJ
Daniel Webster School,2700  PALISADE AVE,WEEHAWKEN,NJ
David C. Douglass Memorial School,2600 BAYSHORE RD,VILLAS,NJ
David E. Owens Middle School,470 MARION AVENUE,NEW MILFORD,NJ
Dawes Avenue Elementary School,22 W. Dawes Avenue,Somers Point,NJ
Daylight/Twilight High School,501 Edgewood Avenue,TRENTON,NJ
Decatur Avenue Early Childhood Center,115 WEST DECATUR AVE,PLEASANTVILLE,NJ
Deerfield School,26 TROY LANE,SHORT HILLS,NJ
Deerfield Township School District,419  MORTON AVE,ROSENHAYN,NJ
Delair Elementary School,850 DEROUSSE AVENUE,DELAIR,NJ
Delaware Township School,501 ROSEMONT  RINGOES ROAD,SERGEANTSVILLE,NJ
Delaware Valley Regional High School,19 Senator Stout Rd,Frenchtown,NJ
Delran High School,50 HARTFORD ROAD,DELRAN,NJ
Delran Intermediate School,20 CREEK ROAD,DELRAN,NJ
Delran Middle School,905 CHESTER AVENUE,DELRAN,NJ
Delsea Regional High School,242 FRIES MILL RD,FRANKLINVILLE,NJ
Delsea Regional Middle School,FRIES MILL RD,FRANKLINVILLE,NJ
Demarest Elementary School,465 Broughton Ave,Bloomfield,NJ
Demarest Middle School,568 PIERMONT RD,DEMAREST,NJ
Dennis Township Elementary/Middle Schools,165 ACADEMY ROAD,DENNISVILLE,NJ
Dennis Township Primary School,601 HAGAN ROAD,CAPE MAY COURT HOUSE,NJ
Deptford Township High School,575 S FOX RUN RD,DEPTFORD,NJ
Dionne Warwick Institute,120 CENTRAL AVE,EAST ORANGE,NJ
Discovery Elementary School,2 SCHOOL ROAD,Joint Base MDL,NJ
Dogwood Hill Elementary School,25 DOGWOOD DR,OAKLAND,NJ
Donald A. Quarles Early Childhood Center,186 Davison Place,ENGLEWOOD,NJ
Dorchester Elementary School,100 DORCHESTER ROAD,WOODCLIFF LAKE,NJ
Dorthy L. Bullock School,370 E  NEW ST,GLASSBORO,NJ
Downe Township Elementary School,220 MAIN ST,NEWPORT,NJ
Dr Martin Luther King Jr School Complex,1700 Marmora Avenue,Atlantic City,NJ
Dr Ronald McNair High School,123 COLES  STREET,JERSEY CITY,NJ
Dr William H Horton Elementary School,291 N 7TH ST,NEWARK,NJ
Dr. Albert M. Bean School,70 E THIRD AVE,PINE HILL,NJ
Dr. Charles E. Brimm Medical Arts High School,1626 COPEWOOD STREET,CAMDEN,NJ
Dr. Charles P. DeFuccio School,214 PLAINFIELD AVE,JERSEY CITY,NJ
Dr. E. Alma Flagg School,150 THIRD ST,NEWARK,NJ
Dr. Henry H. Davis Elementary School,3425 Cramer Street,CAMDEN,NJ
Dr. J.P. Cleary Elementary School,1501 CENTRAL AVE,MINOTOLA,NJ
Dr. John Grieco Elementary School,50 Durie Ave,Englewood,NJ
Dr. Joyanne D. Miller Elementary School,2 ALDER AVENUE,EGG HARBOR TOWNSHIP,NJ
Dr. Leroy McCloud Elementary School,325 TENAFLY RD,ENGLEWOOD,NJ
Dr. May Angelou Elementary School,239 Ocean Avenue,JERSEY CITY,NJ
Dr. Michael Conti School,182 MERSELES ST,JERSEY CITY,NJ
Dr. Paul Rafalides School,362 UNION ST,JERSEY CITY,NJ
Dr. Ulysses S. Wiggins College Preparatory Lab Schoo,400 Mount Vernon Street,CAMDEN,NJ
Dr. William Mennies Elementary School,361 EAST GRANT AVENUE,VINELAND,NJ
Dumont High School,101 NEW MILFORD AVE,DUMONT,NJ
Dunn Middle School,401 DAYTON STREET,TRENTON,NJ
Dutch Neck Elementary School,392 VILLAGE ROAD EAST,West Windsor,NJ
Dwight D Eisenhower Middle School,235 Grove Avenue,West Berlin,NJ
Dwight D. Eisenhower Middle School,344 CALVIN CT,WYCKOFF,NJ
Dwight Morrow High School/Academies@Englewood,274 KNICKERBOCKER RD,ENGLEWOOD,NJ
E. H. Slaybaugh Elementary School,11 SWIFT AVENUE,EGG HARBOR TOWNSHIP,NJ
E. Roy Bixby,25 FISCHER AVE,BOGOTA,NJ
Eagle Academy for Young Men of Newark,279 Chancellor Avenue,Newark,NJ
Early Childhood Development Center,1602 Pine Street,CAMDEN,NJ
Early Childhood School,5204 HUDSON AVE,WEST NEW YORK,NJ
Early Childhood School - Central,70 Montgomery Street,Newark,NJ
Early Childhood School - North,24 Crane Street,Newark,NJ
Early Childhood School - South,255 Chancellor Avenue,NEWARK,NJ
Early Childhood School - West,26 Speedway Avenue,Newark,NJ
East Amwell Township,43 WERTSVILLE RD,RINGOES,NJ
East Brook Elementary School,167 SIBBALD DR,PARK RIDGE,NJ
East Brook Middle School,190 SPRING VALLEY ROAD,PARAMUS,NJ
East Newark Public School,501  11 NORTH THIRD STREET,E NEWARK,NJ
East Orange Campus High School,344 PROSPECT STREET,EAST ORANGE,NJ
East Orange STEM Academy High School,129 RENSHAW AVENUE,EAST ORANGE,NJ
East Side High School,238 VAN BUREN ST,NEWARK,NJ
Eastampton Township Community School,1 STUDENT DRIVE,EASTAMPTON,NJ
Eastern Regional High School,1401 LAUREL OAK ROAD,VOORHEES,NJ
