Name,Address,City,State
Ecole Toussaint Louverture,330 CENTRAL AVE,EAST ORANGE,NJ
Edgemont Elementary School,20 EDGEMONT RD,MONTCLAIR,NJ
Edison Middle School,75 WILLIAM ST,W ORANGE,NJ
Edith A. Bogert Elementary School,391 W  SADDLE RIVER RD,UPPER SADDLE RIVER,NJ
Edward H. Bryan,51 BROOKSIDE AVE,CRESSKILL,NJ
"Edward T. Bowser, Sr. School of Excellence",180 Lincoln Street,EAST ORANGE,NJ
Edward T. Hamilton,23 Northgate Drive,VOORHEES,NJ
Egg Harbor City Community School,730 Havana Avenue,EGG HARBOR CITY,NJ
Egg Harbor Township High School,24 HIGH SCHOOL DRIVE,EGG HARBOR TOWNSHIP,NJ
Eldridge Park School,55 LAWN PARK AVE,LAWRENCEVILLE,NJ
Eleanor Rush Intermediate School,1200 WYNWOOD DRIVE,CINNAMINSON,NJ
Eleanor Van Gelder,251 UNDERCLIFF AVE,EDGEWATER,NJ
Elizabeth F. Moore School,1361 Highway 77,SEABROOK,NJ
Elizabeth Haddon School,501 WEST REDMAN AVENUE,HADDONFIELD,NJ
Elliott Street Elementary School,721 Summer Avenue,NEWARK,NJ
Elwood Kindle Elementary School,211 Washington Avenue,Pitman,NJ
Emerson Jr Sr High,131 Main Street,Emerson,NJ
Emerson Middle School,318 - 18th Street,UNION CITY,NJ
Emil A. Cavallini Middle School,392 W  SADDLE RIVER RD,UPPER SADDLE RIVER,NJ
Emily C. Reynolds Middle School,2145 YARDVILLE HAMILTON SQ,HAMILTON,NJ
Emma C Attales,800 IRELAN AVENUE,ABSECON,NJ
EMOTIONALLY DISTURBED,540 Farview Avenue,Paramus,NJ
Erial Elementary School,20 ESSEX AVENUE,SICKLERVILLE,NJ
Eric S. Smith Middle School,2 MONROE STREET,RAMSEY,NJ
ESC Academy,37 Hoffmans Crossing Road,Califon,NJ
Essex Campus Academy,369 PASSAIC AVENUE,FAIRFIELD,NJ
"Essex County Donald M. Payne, Sr. School of Technology",498-544 West Market St,NEWARK,NJ
Essex County Newark Tech,91 WEST MARKET STREET,NEWARK,NJ
Essex County West Caldwell Tech,620 PASSAIC AVE,WEST CALDWELL,NJ
Essex Fells Elementary School,102 HAWTHORNE RD,ESSEX FELLS,NJ
Essex High School,520 Pompton Avenue,Cedar Grove,NJ
Essex Junior Academy,520 Pompton Avenue,Cedar Grove,NJ
Estell Manor Elementary School,128 CAPE MAY AVENUE,ESTELL MANOR,NJ
Ethel Hoppock Middle School,280 ASBURY  WEST PORTAL RD,ASBURY,NJ
Ethel M Burke Elementary School,112 SOUTH BLACK HORSE PIKE,BELLMAWR,NJ
Ethel McKnight Elementary School,58 TWIN RIVERS DR   SOUTH,EAST WINDSOR,NJ
Euclid Elementary School,1 BURTON AVENUE,HASBROUCK HEIGHTS,NJ
Eugene A. Tighe Middle School,7804 AMHERST AVENUE,MARGATE,NJ
Eugenio Maria de Hostos Center for Early Childhood Education,2200 KENNEDY BLVD,UNION CITY,NJ
Evergreen Avenue Elementary School,160 North Evergreen Avenue,Woodbury,NJ
Ewing High School,900 PARKWAY AVE,EWING,NJ
Explore 2000 Middle School,180-9th St,JERSEY CITY,NJ
Ezra L. Nolan School,88 GATES AVE,JERSEY CITY,NJ
F. W. Holbein Middle School,333 LEVIS DRIVE,MOUNT HOLLY,NJ
Fair Lawn High School,14  00 BERDAN AVENUE,FAIR LAWN,NJ
Fairfield Township School,375 GOULDTOWN  WOODRUFF ROAD,BRIDGETON,NJ
Fairmount,105 GRAND AVENUE,HACKENSACK,NJ
Fairview Elementary School,376 Berkeley Avenue,Bloomfield,NJ
Fanny Meyer Hillers,56 LONGVIEW AVENUE,HACKENSACK,NJ
Fernwood Avenue Middle School,4034 FERNWOOD AVENUE,EGG HARBOR TOWNSHIP,NJ
Fieldstone Middle School,47 Spring Valley Road,Montvale,NJ
First Avenue School,214 FIRST AVE,NEWARK,NJ
Fleetwood Elementary School,231 FLEETWOOD AVE,MOUNT LAUREL,NJ
Florence Avenue Elementary School,1324      SPRINGFIELD AVENUE,IRVINGTON,NJ
Florence L. Walther School,56 CHESTNUT STREET,LUMBERTON,NJ
Florence Riverfront School,500 Front Street,FLORENCE,NJ
Florence Township Memorial High School,1050 CEDAR LANE,BURLINGTON,NJ
Folsom Elementary School,1357 Mays Landing Road,Folsom,NJ
Forest Avenue School,287 FOREST AVE,GLEN RIDGE,NJ
Forest Avenue School,118 FOREST AVE,VERONA,NJ
Forest Hill School,1625 Wildwood Avenue,CAMDEN,NJ
Forest Street Elementary School,651 FOREST ST,ORANGE,NJ
Fort Dix Elementary School,1199 FORT DIX  JULIUSTOWN ROAD,FORT DIX,NJ
Fort Lee High School,3000 LEMOINE AVE,FORT LEE,NJ
Fountain Woods Elementary School,601 FOUNTAIN AVENUE,BURLINGTON,NJ
Fourteenth Avenue School,186  14TH AVE,NEWARK,NJ
Frances DeMasi Elementary School,199 EVESBORO  MEDFORD RD,MARLTON,NJ
Frances DeMasi Middle School,199 EVESBORO  MEDFORD RD,MARLTON,NJ
Francis A. Desmares Elementary School,16 OLD CLINTON ROAD,FLEMINGTON,NJ
Francis Lore Elementary School,13 WESTWOOD DRIVE,EWING,NJ
Frank R Conwell School,111 BRIGHT STREET,JERSEY CITY,NJ
Frank W. Gavlak Elementary School,106 KING ST,WALLINGTON,NJ
Franklin Avenue Middle School,755 Franklin Avenue,Franklin Lakes,NJ
Franklin Elementary School,2 N  FRANKLIN AVENUE,BERGENFIELD,NJ
Franklin Elementary School,85 Curtis Street,Bloomfield,NJ
Franklin Elementary School,100 DAVIS AVE,KEARNY,NJ
Franklin Elementary School,5211 Columbia Avenue,N BERGEN,NJ
Franklin Elementary School,200 WILLIAM STREET,TRENTON,NJ
Franklin L. Williams School,222 LAIDLAW AVENUE,JERSEY CITY,NJ
Franklin School,360 STUYVESANT AVE,LYNDHURST,NJ
FRANKLIN SCHOOL,95 CALDWELL AVENUE,SADDLE BROOK,NJ
Franklin Township School,226 QUAKERTOWN ROAD,QUAKERTOWN,NJ
Frederic N. Brown Elementary School,125 GROVE AVE,VERONA,NJ
Frenchtown Elementary,902 HARRISON ST,FRENCHTOWN,NJ
G.H. Carson Elementary School,4150 GARFIELD AVENUE,PENNSAUKEN,NJ
Galloway Township Middle School,100 S  REEDS ROAD,GALLOWAY,NJ
Gantner Avenue School,99 ROOSEVELT AVE,ELMWOOD PARK,NJ
Garfield Early Childhood Learning Center,241 RAY STREET,GARFIELD,NJ
Garfield Elementary School,360 BELGROVE DR,KEARNY,NJ
Garfield High School,500 PALISADE AVE,GARFIELD,NJ
Garfield Middle School,175 LANZA AVE,GARFIELD,NJ
Garfield Public Preschool 3 at Headstart,541 Midland Ave,Garfield,NJ
GARFIELD PUBLIC PRESCHOOL ANNEX,464 OUTWATER LANE,GARFIELD,NJ
Gateway Regional High School,775 TANYARD RD,WOODBURY HTS,NJ
GENERAL CHARLES G. HARKER SCHOOL,1771 OLDMANS CREEK ROAD,WOOLWICH TOWNSHIP,NJ
George,3800 GLADWYN AVE,PENNSAUKEN,NJ
George C. Baker Elementary School,139 W  MAPLE AVE,MOORESTOWN,NJ
George E. Wilson Elementary School,600 Park Avenue,HAMILTON,NJ
George G White,120 MAGNOLIA AVE,HILLSDALE,NJ
George L. Hess Educational Complex,700 BABCOCK ROAD,MAYS LANDING,NJ
George Washington Carver Elementary School,333 CLINTON PL,NEWARK,NJ
George Washington Carver Institute,135 GLENWOOD AVENUE,EAST ORANGE,NJ
George Washington Elementary School,270 WOODLAND AVE,WYCKOFF,NJ
George Washington Elementary School,3905 NEW YORK AVE,UNION CITY,NJ
George Washington Middle School,155 WASHINGTON PL,RIDGEWOOD,NJ
George Washington School,801 Undercliff Ave,Edgewater,NJ
George Washington School,39 FARDALE AVENUE,MAHWAH,NJ
Geraldine O Foster Early Childhood Center,550 BUCKSHUTEM ROAD,BRIDGETON,NJ
Gertrude C. Folwell Elementary School,455 JACKSONVILLE RD,MOUNT HOLLY,NJ
Gibbsboro Elementary School,37 KIRKWOOD RD,GIBBSBORO,NJ
Gilbert Avenue School,151 GILBERT AVENUE,ELMWOOD PARK,NJ
Gilmore J Fisher Middle School,1325 LOWER FERRY ROAD,EWING,NJ
Gladys Nunery School,123 CLAREMONT AVE,JERSEY CITY,NJ
Glassboro High School,560 JOSEPH L  BOWE BLVD,GLASSBORO,NJ
Glassboro Intermediate School,202 N DELSEA DR,GLASSBORO,NJ
Glen Landing Middle School,85 LITTLE GLOUCESTER ROAD,BLACKWOOD,NJ
Glen Ridge High School,200 RIDGEWOOD AVE,GLEN RIDGE,NJ
GLEN ROCK HIGH SCHOOL,400 HAMILTON AVENUE,GLEN ROCK,NJ
GLEN ROCK MIDDLE SCHOOL,600 HARRISTOWN ROAD,GLEN ROCK,NJ
Glen School,865 EAST GLEN AVENUE,RIDGEWOOD,NJ
Glendora Elementary School,201 STATION AVE,GLENDORA,NJ
Glenfield Middle School,25 MAPLE AVE,MONTCLAIR,NJ
Glenview Avenue,1700 Sycamore Street,HADDON HEIGHTS,NJ
Glenwood Avenue Elementary School,GLENWOOD & NEW YORK AVE,WILDWOOD,NJ
Glenwood School,325 TAYLOR ROAD  SOUTH,SHORT HILLS,NJ
Gloria M Sabater Elementary School,301 SOUTH EAST BLVD,VINELAND,NJ
Gloucester City Jr. Sr. High School,1300 MARKET STREET,GLOUCESTER CITY,NJ
Gloucester City Middle School,1300 Market Street,Gloucester City,NJ
Gloucester County Institute of Technology,1360 Tanyard Road,Sewell,NJ
Gloucester Township Elementary School,270 SOUTH BLACK HORSE PIKE,BLACKWOOD,NJ
Godwin Elementary School,41 E. Center Street,Midland Park,NJ
Good Intent Elementary School,1555 GOOD INTENT RD,DEPTFORD,NJ
Gordon Parks Academy,98 GREENWOOD AVE,EAST ORANGE,NJ
Gould/Mountain Elementary School,132 GOULD AVE,N CALDWELL,NJ
GOVERNOR CHARLES C STRATTON,15 FREDRICK BOULEVARD,WOOLWICH TWP,NJ
Grace N. Rogers Elementary School,380 STOCKTON ST,HIGHTSTOWN,NJ
Grade Downing Elementary School,3RD & CENTRAL AVES,RUNNEMEDE,NJ
Grandview Elementary School,35 HAMILTON DR EAST,N CALDWELL,NJ
Grant Elementary School,100 GRANT AVE,DUMONT,NJ
Grant Elementary School,104 HENRY ST,RIDGEFIELD PARK,NJ
Grant Elementary School,159 N  CLINTON AVENUE,TRENTON,NJ
Green-Fields Elementary School,15 HILL LANE,WOODBURY,NJ
Greenwood Elementary School,2069 GREENWOOD AVENUE,HAMILTON,NJ
Gregory Elementary School,301 GREGORY AVE,W ORANGE,NJ
Gregory Elementary School,500 RUTHERFORD AVENUE,TRENTON,NJ
Grenloch Terrace Early Childhood Center,251 WOODBURY  TURNERSVILLE RD,SEWELL,NJ
Grove Street Elementary School,602 GROVE STREET,IRVINGTON,NJ
Grover Cleveland Middle School,36 ACADEMY RD,CALDWELL,NJ
H Ashton Marsh,800 IRELAN AVE,ABSECON,NJ
H. Russel Swift Elementary School,5 SWIFT DRIVE,EGG HARBOR TOWNSHIP,NJ
Hackensack High School,FIRST & BEECH STREETS,HACKENSACK,NJ
Hackensack Middle School,360 Union Street,Hackensack,NJ
Haddon Heights Jr./Sr. High School,301 SECOND AVENUE,HADDON HEIGHTS,NJ
Haddon Township High School,406 MEMORIAL AVENUE,WESTMONT,NJ
Haddonfield Memorial High School,401 KINGS HIGHWAY EAST,HADDONFIELD,NJ
Haddonfield Middle School,FIVE LINCOLN AVENUE,HADDONFIELD,NJ
Haines Sixth Grade Center,162 STOKES ROAD,MEDFORD,NJ
Hainesport Township School,211 BROAD STREET,HAINESPORT,NJ
Haleyville-Mauricetown Elementary School,1308 NORTH AVENUE,PORT NORRIS,NJ
Hamilton East - Steinert,2900 KLOCKNER ROAD,HAMILTON,NJ
Hamilton Intermediate School,223 HAMILTON STREET,HARRISON,NJ
Hamilton North - Nottingham,1055 KLOCKNER ROAD,HAMILTON,NJ
Hamilton West-Watson,2720 SOUTH CLINTON AVENUE,HAMILTON,NJ
Hammonton Early Childhood Eductional Center,601C NORTH 4TH STREET,HAMMONTON,NJ
Hammonton High School,566 OLD FORKS ROAD,HAMMONTON,NJ
Hammonton Middle School,75 NORTH LIBERTY STREET,HAMMONTON,NJ
Hampton Borough School,32  41 SOUTH STREET,HAMPTON,NJ
Harker-Wylie School,125C TRENTON ROAD,BROWNS MILLS,NJ
Harriet Tubman Elementary School,504 S TENTH ST,NEWARK,NJ
Harrington Park School,191 HARRIOT AVE,HARRINGTON PARK,NJ
Harrison Elementary School,148 N LIVINGSTON AVE,LIVINGSTON,NJ
Harrison Elementary School,461 GENESSEE STREET,TRENTON,NJ
Harrison High School,401 Kingsland Avenue,HARRISON,NJ
Harrison School,104 Gray Street,West Caldwell,NJ
Harrison Township Elementary School,120 N MAIN STREET,MULLICA HILL,NJ
Harry C. Sharp Elementary School,928 North 32nd Street,CAMDEN,NJ
Harry L Bain,6200 BROADWAY,WEST NEW YORK,NJ
Hartford Upper Elementary School,397 HARTFORD ROAD,MOUNT LAUREL,NJ
Hartshorn School,400 HARTSHORN DRIVE,SHORT HILLS,NJ
Hasbrouck Heights High School,365 BOULEVARD,HASBROUCK HEIGHTS,NJ
Hasbrouck Heights Middle School,365 BOULEVARD,HASBROUCK HEIGHTS,NJ
Haviland Avenue School,240 SOUTH HAVILAND AVENUE,AUDUBON,NJ
Hawes Elementary School,531 STEVENS AVENUE,RIDGEWOOD,NJ
Hawkins Street School,8 HAWKINS ST,NEWARK,NJ
Haworth Public School,205 VALLEY RD,HAWORTH,NJ
Hawthorne Avenue School,428 HAWTHORNE AVE,NEWARK,NJ
Hawthorne Park Elementary School,84 Hampshire Lane,WILLINGBORO,NJ
Hazel Avenue Elementary School,45 HAZEL AVE,W ORANGE,NJ
HEARING IMPAIRED,540 Farview Avenue,Paramus,NJ
Hedgepeth Williams Middle School,301 GLADSTONE AVE,TRENTON,NJ
Heights Elementary School,114 SEMINOLE AVE,OAKLAND,NJ
Helen A. Fort Middle School,101 FORT DIX ROAD,PEMBERTON,NJ
HELEN I. SMITH SCHOOL,30 CAMBRIDGE AVENUE,SADDLE BROOK,NJ
Helen L Beeler,60 CALDWELL AVE,MARLTON,NJ
Henry B. Milnes Elementary School,8-01 PHILLIP ST,FAIR LAWN,NJ
Henry B. Whitehorne Middle School,600 BLOOMFIELD AVE,VERONA,NJ
Henry B. Wilson Family School,2250 South 8th Street,CAMDEN,NJ
Henry C. Beck Middle School,950 Cropwell Rd.,CHERRY HILL,NJ
Henry E. Harris Community School,135 AVENUE C,BAYONNE,NJ
Henry L. Bonsall Family School,1575 Mount Ephraim Avenue,Camden,NJ
Henry P. Becton Regional High School,120 PATERSON AVENUE,EAST RUTHERFORD,NJ
Henry Snyder High School,239 BERGEN AVE,JERSEY CITY,NJ
Heritage Middle School,20 FOXCROFT DR,LIVINGSTON,NJ
Herma S. Simmons Elementary School,300 WEST CHESTNUT STREET,CLAYTON,NJ
Heywood Avenue Elementary School,421 HEYWOOD AVE,ORANGE,NJ
High Bridge Elementary School,40 FAIRVIEW AVENUE,HIGH BRIDGE,NJ
High Bridge Middle School,50 THOMAS ST,HIGH BRIDGE,NJ
High Mountain Road School,765 High Mountain Road,Franklin Lakes,NJ
High Tech High School,1 High Tech Way,Secaucus,NJ
Highland Elementary School,31 HIGHLAND AVE,MIDLAND PARK,NJ
Highland Regional High School,450 Erial Road,BLACKWOOD,NJ
Hightstown High School,25 LESHIN LANE,HIGHTSTOWN,NJ
Hillside Elementary School,89 Hillsdale Avenue,Allendale,NJ
Hillside Elementary School,340 Homans Avenue,CLOSTER,NJ
Hillside Elementary School,1370 HAINESPORT MT LAUREL RD,MOUNT LAUREL,NJ
Hillside Elementary School,98 BELMONT DRIVE,LIVINGSTON,NJ
Hillside Elementary School,54 ORANGE RD,MONTCLAIR,NJ
Hilltop School,200 KIPP AVENUE,LODI,NJ
Ho-Ho-Kus Public School,70 LLOYD ROAD,HO  HO  KUS,NJ
Hoboken High School,NINTH & CLINTON STS,HOBOKEN,NJ
Hoboken Middle School,158 Fourth Street,HOBOKEN,NJ
Holdrum Middle School,393 RIVERVALE ROAD,RIVER VALE,NJ
Holland Brook School,52 READINGTON ROAD,WHITEHOUSE STATION,NJ
Holland Township Elementary School,714 MILFORD  WARREN GLEN ROAD,MILFORD,NJ
Holly Glen Elementary School,900 NORTH MAIN STREET,WILLIAMSTOWN,NJ
Holly Heights Elementary School,2509 E MAIN ST,MILLVILLE,NJ
Holly Hills Elementary School,500 OGDEN DRIVE,WESTAMPTON,NJ
Honiss Elementary\Middle School,31 DEPEW ST,DUMONT,NJ
Hoover Elementary School,273 MURRAY HILL TERRACE,BERGENFIELD,NJ
Hopewell Crest,122 SEWALL ROAD,BRIDGETON,NJ
Hopewell Elementary School,35 PRINCETON AVENUE,HOPEWELL,NJ
Hopewell Valley Central High School,259 PENNINGTON TITUSVILLE RD,PENNINGTON,NJ
Horace Mann Community School,25 WEST 38TH STREET,BAYONNE,NJ
Horace Mann Elementary School,150 Walt Whitman Blvd.,CHERRY HILL,NJ
Horace Mann Elementary School,1215  83RD STREET,NORTH BERGEN,NJ
Howard L. Emmons,14 SCRAPETOWN ROAD,PEMBERTON,NJ
Howard M. Phifer Middle School,8201 PARK AVE,PENNSAUKEN,NJ
Howard R. Yocum Elementary School,748 NORTH FORKLANDING ROAD,MAPLE SHADE,NJ
Huber Street School,1520 PATERSON PLANK RD,SECAUCUS,NJ
Hudson Elementary School,167  19TH ST,UNION CITY,NJ
Hunterdon Central Regional High School District,84  ROUTE 31,FLEMINGTON,NJ
Hunterdon County Academies,1445 State Route 31,Annandale,NJ
Hunterdon County Vocational School District Adult School,8 Bartles Corner Road,Flemington,NJ
Hunterdon County Vocational School District Central Campus,10 Junction Rd,FLEMINGTON,NJ
Hunterdon Polytech Bartles Corner Campus,8 Bartles Corner Road,Flemington,NJ
Hurffville Elementary School,200 HURFFVILLE  GRENLOCH RD,SEWELL,NJ
Indian Ave School,399 INDIAN AVENUE,BRIDGETON,NJ
Indian Hills High School,97 YAWPO AVE,OAKLAND,NJ
Indian Mills Elementary School,112 INDIAN MILLS ROAD,SHAMONG,NJ
Indian Mills Memorial School,295 INDIAN MILLS ROAD,SHAMONG,NJ
Infinity Institute,193 Old Bergen Road,Jersey City,NJ
Innovation High School,239 Bergen Avenue,Jersey City,NJ
Irvington High School,1253      CLINTON AVE,IRVINGTON,NJ
Isaiah Haines,125 B Trenton Rd.,Browns Mills,NJ
Ivy Hill Elementary School,107 IVY STREET,NEWARK,NJ
J Harold Van Zant,270 CONESTOGA DRIVE,MARLTON,NJ
J Spencer Smith School,101 DOWNEY DRIVE,TENAFLY,NJ
J. C. Stuart Early Childhood Development Center,70 SUNSET ROAD,Willingboro,NJ
J. Fithian Tatem School,ONE GLOVER AVENUE,HADDONFIELD,NJ
J. Garfield Jackson Sr. Academy,106 PROSPECT STREET,EAST ORANGE,NJ
J. Harvey Rodgers School,301 GEORGETOWN RD,GLASSBORO,NJ
J. Mason Tomlin Elementary School,393 MAIN ST,MANTUA,NJ
J.P. Case Middle School,301 CASE BOULEVARD,FLEMINGTON,NJ
J.V.B. Wicoff Elementary School,510 PLAINSBORO ROAD,PLAINSBORO,NJ
Jackson Avenue,421 JACKSON AVE,HACKENSACK,NJ
James A. Garfield Elementary School,480 HADDON AVE,COLLINGSWOOD,NJ
James Caldwell High School,265 WESTVILLE AVE,WEST CALDWELL,NJ
James F. Cooper Elementary School,1960 Greentree Rd.,CHERRY HILL,NJ
James F. Murray School,339 STEGMAN PARKWAY,JERSEY CITY,NJ
James J Ferris High School,35 COLGATE ST,JERSEY CITY,NJ
James Johnson Elementary School,500 Kresson Rd.,CHERRY HILL,NJ
James Madison School #10,55 Lincoln Place,GARFIELD,NJ
James Russell Lowell Elementary School,1025 LINCOLN PLACE,TEANECK,NJ
"James W. Lilley, Jr. Elementary School",1275 WILLIAMSTOWN ROAD,ERIAL,NJ
Janis E. Dismus Middle School,325 Tryon Avenue,ENGLEWOOD,NJ
Jefferson (Annex) Elementary School,6 Bond Street,WALLINGTON,NJ
Jefferson Elementary School,200 HICKORY AVENUE,BERGENFIELD,NJ
Jefferson Elementary School,100 Prospect Avenue,North Arlington,NJ
Jefferson Elementary School,85 PROSPECT ST,WEST CALDWELL,NJ
Jefferson Elementary School,518 RIDGEWOOD RD,MAPLEWOOD,NJ
Jefferson Elementary School,3400 PALISADE AVENUE,UNION CITY,NJ
Jefferson Elementary School,1 WHITTLESEY ROAD,TRENTON,NJ
Jefferson School,336 LAKE AVE.,LYNDHURST,NJ
Jeffrey Clark School,7 QUAKER RD,MICKLETON,NJ
Jessie F. George Elementary,1 PALM STREET,TOWNSHIP OF WASHINGTON,NJ
John A. Carusi Middle School,315 Roosevelt Dr.,CHERRY HILL,NJ
John A. Forrest Elementary School,10 - 00 HOPPER AVE,FAIR LAWN,NJ
John Brainerd Elementary School,100 WOLLNER DR,MOUNT HOLLY,NJ
John C. Milanesi Elementary School,880 HARDING HIGHWAY,BUENA,NJ
John F Kennedy Elementary School,228 Mt Vernon Avenue,West Berlin,NJ
John F Kennedy Elementary School,1210 ELEVENTH ST,N BERGEN,NJ
John F Kennedy School,311 S TENTH ST,NEWARK,NJ
John F. Scarpa Technical Education Center of Cumberland Coun,3400 College Drive,Vineland,NJ
John Greenleaf Whittier Elementary School,491 W ENGLEWOOD AVENUE,TEANECK,NJ
John H. Glenn School,1005 TURNERVILLE RD,PINE HILL,NJ
John H. Walker Middle School,325 FRANKLIN AVE,NUTLEY,NJ
John H. Winslow Elementary School,1335 MAGNOLIA RD,VINELAND,NJ
John Hydock Elementary School,19 LOCUST AVE,COLUMBUS,NJ
John L. Costley Middle School,116 HAMILTON ST,EAST ORANGE,NJ
John M. Bailey Community School,75 WEST 10TH STREET,BAYONNE,NJ
John Witherspoon Middle School,217 WALNUT LANE,PRINCETON,NJ
John Y Dater Elementary School,35 SCHOOL STREET,RAMSEY,NJ
Johnnie L. Cochran Jr. Academy,190 MIDLAND AVENUE,EAST ORANGE,NJ
Johnson Park School,285 ROSEDALE ROAD,PRINCETON,NJ
Johnstone Elementary School,165 S  BREWSTER RD,VINELAND,NJ
Jordan Road Elementary School,129 Jordan Road,Somers Point,NJ
Jose Marti Freshman Academy,1800 SUMMIT AVE,UNION CITY,NJ
Joseph C Shaner Memorial Elementary School,5801 THIRD STREET,MAYS LANDING,NJ
Joseph D. Sharp Elementary School,300 Old Orchard Rd.,CHERRY HILL,NJ
Joseph F Brandt School,215 NINTH STREET,HOBOKEN,NJ
Joseph F. Cappello School,1072 Old Trenton Road,Hamilton,NJ
Joseph H. Brensinger School,600 BERGEN AVE,JERSEY CITY,NJ
Joseph S. Stackhouse School,125A TRENTON ROAD,BROWNS MILLS,NJ
Jotham W. Wakeman School,100 ST PAULS AVE,JERSEY CITY,NJ
Joyce Kilmer Elementary School,2900 Chapel Ave.,CHERRY HILL,NJ
